Location | Metric |  2014-11-14 19:00:00 |  2014-11-15 19:00:00 |  2014-11-16 19:00:00 |  2014-11-17 19:00:00 |  2014-11-18 19:00:00 |  2014-11-19 19:00:00 |  2014-11-20 19:00:00 |  2014-11-21 19:00:00 |  2014-11-22 19:00:00 |  2014-11-23 19:00:00 |  2014-11-24 19:00:00 |  2014-11-25 19:00:00 |  2014-11-26 19:00:00 |  2014-11-27 19:00:00 |  2014-11-28 19:00:00 |  2014-11-29 19:00:00 |  2014-11-30 19:00:00 |  2014-12-01 19:00:00 |  2014-12-02 19:00:00 |  2014-12-03 19:00:00 |  2014-12-04 19:00:00 |  2014-12-05 19:00:00 |  2014-12-06 19:00:00 |  2014-12-07 19:00:00 |  2014-12-08 19:00:00 |  2014-12-09 19:00:00 |  2014-12-10 19:00:00 |  2014-12-11 19:00:00 |  2014-12-12 19:00:00 |  2014-12-13 19:00:00 |  2014-12-14 19:00:00 |  2014-12-15 19:00:00 |  2014-12-16 19:00:00 |  2014-12-17 19:00:00 |  2014-12-18 19:00:00 |  2014-12-19 19:00:00 |  2014-12-20 19:00:00 |  2014-12-21 19:00:00 |  2014-12-22 19:00:00 |  2014-12-23 19:00:00 |  2014-12-24 19:00:00 |  2014-12-25 19:00:00 |  2014-12-26 19:00:00 |  2014-12-27 19:00:00 |  2014-12-28 19:00:00 |  2014-12-29 19:00:00 |  2014-12-30 19:00:00 |  2014-12-31 19:00:00 |  2015-01-01 19:00:00 |  2015-01-02 19:00:00 |  2015-01-03 19:00:00 |  2015-01-04 19:00:00 |  2015-01-05 19:00:00 |  2015-01-06 19:00:00 |  2015-01-07 19:00:00 |  2015-01-08 19:00:00 |  2015-01-09 19:00:00 |  2015-01-10 19:00:00 |  2015-01-11 19:00:00 |  2015-01-12 19:00:00 |  2015-01-13 19:00:00 |  2015-01-14 19:00:00 |  2015-01-15 19:00:00 |  2015-01-16 19:00:00 |  2015-01-17 19:00:00 |  2015-01-18 19:00:00 |  2015-01-19 19:00:00 |  2015-01-20 19:00:00 |  2015-01-21 19:00:00 |  2015-01-22 19:00:00 |  2015-01-23 19:00:00 |  2015-01-24 19:00:00 |  2015-01-25 19:00:00 |  2015-01-26 19:00:00 |  2015-01-27 19:00:00 |  2015-01-28 19:00:00 |  2015-01-29 19:00:00 |  2015-01-30 19:00:00 |  2015-01-31 19:00:00 |  2015-02-01 19:00:00 |  2015-02-02 19:00:00 |  2015-02-03 19:00:00 |  2015-02-04 19:00:00 |  2015-02-05 19:00:00 |  2015-02-06 19:00:00 |  2015-02-07 19:00:00 |  2015-02-08 19:00:00 |  2015-02-09 19:00:00 |  
everything | Total visits |  49 |  40 |  40 |  49 |  100 |  74 |  66 |  70 |  37 |  57 |  56 |  34 |  13 |  12 |  26 |  18 |  55 |  68 |  62 |  62 |  71 |  83 |  87 |  65 |  69 |  108 |  92 |  85 |  83 |  61 |  57 |  66 |  61 |  89 |  81 |  67 |  63 |  46 |  69 |  67 |  23 |  9 |  30 |  35 |  18 |  28 |  37 |  17 |  33 |  42 |  37 |  29 |  29 |  42 |  37 |  51 |  56 |  25 |  23 |  32 |  27 |  43 |  32 |  24 |  41 |  50 |  51 |  49 |  56 |  40 |  61 |  69 |  42 |  42 |  49 |  54 |  54 |  57 |  49 |  48 |  53 |  68 |  59 |  71 |  79 |  45 |  46 |  55 |  
everything | Visits reaching subcategory |  45 |  31 |  34 |  39 |  94 |  62 |  62 |  69 |  36 |  54 |  44 |  23 |  6 |  12 |  18 |  14 |  46 |  55 |  54 |  56 |  60 |  81 |  80 |  61 |  54 |  83 |  73 |  72 |  77 |  56 |  50 |  55 |  58 |  83 |  67 |  61 |  55 |  45 |  63 |  61 |  15 |  9 |  26 |  32 |  18 |  23 |  32 |  15 |  28 |  40 |  36 |  26 |  26 |  33 |  23 |  39 |  23 |  14 |  15 |  23 |  17 |  19 |  22 |  13 |  24 |  32 |  33 |  27 |  42 |  19 |  48 |  55 |  30 |  30 |  29 |  39 |  43 |  43 |  32 |  27 |  30 |  50 |  47 |  52 |  71 |  41 |  41 |  50 |  
everything | Visits reaching design |  37 |  27 |  28 |  29 |  80 |  46 |  49 |  60 |  34 |  44 |  32 |  16 |  5 |  8 |  14 |  13 |  38 |  42 |  43 |  45 |  48 |  67 |  66 |  50 |  33 |  60 |  64 |  56 |  62 |  39 |  40 |  47 |  51 |  72 |  59 |  48 |  44 |  36 |  49 |  44 |  15 |  4 |  16 |  23 |  12 |  14 |  20 |  12 |  20 |  23 |  22 |  19 |  18 |  20 |  19 |  29 |  21 |  9 |  13 |  20 |  15 |  17 |  14 |  10 |  17 |  25 |  25 |  23 |  31 |  15 |  34 |  35 |  25 |  20 |  21 |  29 |  28 |  35 |  24 |  20 |  28 |  42 |  41 |  45 |  48 |  32 |  34 |  39 |  
everything | Visits reaching print |  2 |  4 |  9 |  8 |  22 |  4 |  8 |  5 |  2 |  15 |  8 |  1 |  1 |  4 |  4 |  3 |  7 |  9 |  9 |  14 |  16 |  12 |  11 |  11 |  7 |  30 |  21 |  17 |  17 |  13 |  10 |  19 |  21 |  36 |  27 |  7 |  12 |  15 |  20 |  20 |  6 |  0 |  0 |  0 |  1 |  1 |  3 |  1 |  3 |  5 |  2 |  5 |  3 |  2 |  9 |  14 |  9 |  2 |  5 |  7 |  12 |  6 |  7 |  3 |  3 |  12 |  7 |  5 |  19 |  7 |  16 |  18 |  10 |  7 |  11 |  14 |  12 |  17 |  7 |  8 |  8 |  19 |  18 |  27 |  15 |  13 |  19 |  18 |  
everything | Visits reaching purchase |  2 |  4 |  9 |  8 |  22 |  4 |  8 |  5 |  2 |  15 |  8 |  1 |  1 |  4 |  4 |  3 |  7 |  9 |  9 |  14 |  16 |  12 |  11 |  11 |  7 |  30 |  21 |  17 |  17 |  13 |  10 |  19 |  21 |  36 |  27 |  7 |  12 |  15 |  20 |  20 |  6 |  0 |  0 |  0 |  1 |  1 |  3 |  1 |  3 |  5 |  2 |  5 |  2 |  2 |  3 |  8 |  0 |  0 |  0 |  1 |  1 |  2 |  0 |  1 |  0 |  4 |  0 |  2 |  10 |  2 |  6 |  0 |  1 |  3 |  2 |  6 |  6 |  0 |  0 |  4 |  2 |  9 |  3 |  6 |  8 |  7 |  13 |  12 |  





